segment_id,start_time,end_time,center_time,timeline_emotion,pitch_mean,pitch_std,rms_mean,rms_std,zcr_mean,zcr_std,pause_ratio,speaking_continuity,emotion_id,segment_feedback
0,0.0,1.0,0.5,angry,284.76832609273043,37.97130805238434,0.15001351997581502,0.07960454389392335,0.09933035714285714,0.04841167539200094,0.0,1.0,3,Voice energy is moderate. Speech continuity is good. Pitch variation is moderate.
1,1.0,2.0,1.5,angry,281.0551817859673,34.52361229258908,0.13414485099178458,0.06271255891398947,0.08933221726190477,0.03730460518349657,0.0,1.0,3,Voice energy is moderate. Speech continuity is good. Pitch variation is moderate.
2,2.0,3.0,2.5,silence,107.59437720950412,0.839463371128797,0.028051425584606708,0.0350260585739649,0.05499751984126984,0.0465066394473146,0.19199999999999995,0.808,6,Voice energy is low; the speaker may need to speak more clearly or loudly. Speech continuity is acceptable but could be smoother. Pitch is relatively stable.
3,3.0,4.0,3.5,disgust,137.49555900750556,13.684787105992934,0.18086277084454658,0.09073509096080405,0.1062282986111111,0.1025656239874547,0.0,1.0,5,Voice energy is strong and clear. Speech continuity is good. Pitch is relatively stable.
4,4.0,5.0,4.5,disgust,101.01284936742694,14.059020314795637,0.06752897337788627,0.06760717841290867,0.09988839285714286,0.08629336150980423,0.0,1.0,5,Voice energy is moderate. Speech continuity is good. Pitch is relatively stable.
5,5.0,6.0,5.5,silence,285.0465832136739,6.389454119490749,0.08107204147474101,0.11219911440460395,0.12269035218253968,0.19734988801414477,0.256,0.744,6,Voice energy is moderate. This segment contains noticeable silence or hesitation. Pitch is relatively stable.
6,6.0,7.0,6.5,fear,287.8725956993007,28.398221307742144,0.19644034618423098,0.03901200666240591,0.04749503968253968,0.015451884638988694,0.0,1.0,4,Voice energy is strong and clear. Speech continuity is good. Pitch variation is moderate.
7,7.0,8.0,7.5,happy,168.66418970566548,46.78991130228061,0.10650734879290832,0.1365575925119806,0.047975570436507936,0.04561126285308282,0.28800000000000003,0.712,1,Voice energy is moderate. This segment contains noticeable silence or hesitation. Pitch variation is moderate.
8,8.0,9.0,8.5,happy,227.04815400077982,35.821089073010704,0.23388243312873538,0.0474532995950072,0.04796006944444445,0.014762300432967028,0.0,1.0,1,Voice energy is strong and clear. Speech continuity is good. Pitch variation is moderate.
9,9.0,10.0,9.5,happy,244.72495156052528,25.51783510242221,0.04432761181323301,0.04584006222427964,0.03050595238095238,0.023662293579368512,0.19199999999999995,0.808,1,Voice energy is low; the speaker may need to speak more clearly or loudly. Speech continuity is acceptable but could be smoother. Pitch variation is moderate.
10,10.0,11.0,10.5,neutral,161.96694024011722,73.44671140983736,0.04345646431107843,0.04842083005201227,0.0578187003968254,0.017960760773458446,0.0,1.0,0,"Voice energy is low; the speaker may need to speak more clearly or loudly. Speech continuity is good. Pitch variation is high, which may indicate expressive or unstable speaking."
11,11.0,12.0,11.5,neutral,227.17827511874154,41.78507112972569,0.10048193086884798,0.09348817649526941,0.08513144841269842,0.04616974064062399,0.0,1.0,0,Voice energy is moderate. Speech continuity is good. Pitch variation is moderate.
12,12.0,13.0,12.5,neutral,107.76256304224964,6.15838727137656,0.015537301019307167,0.01128341011996705,0.039233010912698416,0.029127184910600047,0.22399999999999998,0.776,0,Voice energy is low; the speaker may need to speak more clearly or loudly. This segment contains noticeable silence or hesitation. Pitch is relatively stable.
13,13.0,14.0,13.5,sad,0.0,0.0,0.10970518752814286,0.0498030703593764,0.11089409722222222,0.11076974655404133,0.0,1.0,2,Voice energy is moderate. Speech continuity is good. Pitch is relatively stable.
14,14.0,15.0,14.5,sad,75.36290095046171,14.441108007676458,0.04558698220976761,0.013092443044206245,0.053633432539682536,0.03763163299797338,0.0,1.0,2,Voice energy is low; the speaker may need to speak more clearly or loudly. Speech continuity is good. Pitch is relatively stable.
