protocol,model,dataset,n_samples,accuracy,macro_f1,weighted_f1,uar,macro_precision,macro_recall
combined_random,deep_multilevel_coattention_augmented,CREMA-D,1115,0.7022421524663677,0.7008795077636018,0.6986353213648582,0.7080732094326564,0.6995935511468129,0.7080732094326564
combined_random,deep_multilevel_coattention_augmented,RAVDESS,159,0.7735849056603774,0.7727169754041081,0.7680919200427632,0.7781657558317615,0.7774322493224931,0.7781657558317615
combined_random,deep_multilevel_coattention_augmented,SAVEE,63,0.7619047619047619,0.6931812468577174,0.7569776628600158,0.7081349206349206,0.714545177045177,0.7081349206349206
combined_random,deep_multilevel_coattention_augmented,TESS,361,1.0,1.0,1.0,1.0,1.0,1.0
combined_random,rich_stats_rbf_svm_augmented,CREMA-D,1115,0.5426008968609866,0.5399624165076359,0.5435697034242278,0.5403020712006886,0.5409330204163209,0.5403020712006886
combined_random,rich_stats_rbf_svm_augmented,RAVDESS,159,0.6792452830188679,0.6645775974207346,0.6750441971122696,0.6669767266904182,0.6772192229644954,0.6669767266904182
combined_random,rich_stats_rbf_svm_augmented,SAVEE,63,0.6666666666666666,0.56376325428957,0.6472137608979714,0.5859126984126984,0.5988247863247863,0.5859126984126984
combined_random,rich_stats_rbf_svm_augmented,TESS,361,0.997229916897507,0.9973074501118276,0.997230819145928,0.9974358974358974,0.9972222222222222,0.9974358974358974
combined_random,emotion2vec_logreg_augmented,CREMA-D,1115,0.672645739910314,0.6727282580248496,0.6713334374168157,0.6754533178035483,0.6709758987821837,0.6754533178035483
combined_random,emotion2vec_logreg_augmented,RAVDESS,159,0.7484276729559748,0.737114984882842,0.7456551540951811,0.7410638766638186,0.7358372722956057,0.7410638766638186
combined_random,emotion2vec_logreg_augmented,SAVEE,63,0.746031746031746,0.7164464076228781,0.7415387807544671,0.7011904761904763,0.751984126984127,0.7011904761904763
combined_random,emotion2vec_logreg_augmented,TESS,361,0.9390581717451524,0.9371075944356718,0.9393142557150215,0.9375331919820385,0.9371726344938467,0.9375331919820385
combined_random,emotion2vec_mlp_augmented,CREMA-D,1115,0.6708520179372197,0.6709944876930382,0.668998717760053,0.6745018089948966,0.6693851436813459,0.6745018089948966
combined_random,emotion2vec_mlp_augmented,RAVDESS,159,0.8301886792452831,0.8185881193226884,0.8269852801106397,0.8176540761877126,0.8240422771672772,0.8176540761877126
combined_random,emotion2vec_mlp_augmented,SAVEE,63,0.7936507936507936,0.7613289760348584,0.7826849258221809,0.7583333333333333,0.8134680134680133,0.7583333333333333
combined_random,emotion2vec_mlp_augmented,TESS,361,0.9833795013850416,0.9831045264894812,0.9834167669306166,0.9837107955885651,0.9828221031224368,0.9837107955885651
combined_random,stacking_full_augmented,CREMA-D,1115,0.7237668161434978,0.7243387128328563,0.7222064465144878,0.7270888686326474,0.7237647812338645,0.7270888686326474
combined_random,stacking_full_augmented,RAVDESS,159,0.8490566037735849,0.8402248076792161,0.8461917897122585,0.8398762984099348,0.843606348086461,0.8398762984099348
combined_random,stacking_full_augmented,SAVEE,63,0.7777777777777778,0.7220494417862838,0.7694615326194272,0.7345238095238096,0.7472222222222223,0.7345238095238096
combined_random,stacking_full_augmented,TESS,361,0.9944598337950139,0.9941777116553681,0.9944898477057024,0.994687579053883,0.9938271604938271,0.994687579053883
combined_strict_no_tess,deep_multilevel_coattention_augmented,CREMA-D,1716,0.666083916083916,0.6665365297386404,0.6642796130335739,0.669778224984023,0.6667704501612347,0.669778224984023
combined_strict_no_tess,deep_multilevel_coattention_augmented,RAVDESS,132,0.6363636363636364,0.6481082713819286,0.6342999324166495,0.638888888888889,0.7228715728715729,0.638888888888889
combined_strict_no_tess,deep_multilevel_coattention_augmented,SAVEE,105,0.6476190476190476,0.5956487956487957,0.6167832167832168,0.5944444444444444,0.6647156084656085,0.5944444444444444
combined_strict_no_tess,rich_stats_rbf_svm_augmented,CREMA-D,1716,0.5174825174825175,0.5172914904003111,0.5176320211141345,0.5193016330582109,0.525854590588719,0.5193016330582109
combined_strict_no_tess,rich_stats_rbf_svm_augmented,RAVDESS,132,0.3560606060606061,0.32287418060007506,0.3294991061091728,0.34027777777777785,0.44647795127247186,0.34027777777777785
combined_strict_no_tess,rich_stats_rbf_svm_augmented,SAVEE,105,0.37142857142857144,0.26488430621290665,0.31990083389677715,0.2888888888888889,0.297109440267335,0.2888888888888889
combined_strict_no_tess,emotion2vec_logreg_augmented,CREMA-D,1716,0.6777389277389277,0.6802786014497896,0.6782038126537171,0.6802981475689959,0.6838148757984935,0.6802981475689959
combined_strict_no_tess,emotion2vec_logreg_augmented,RAVDESS,132,0.6818181818181818,0.6839380008410273,0.6791285368026518,0.6736111111111112,0.7448547367665016,0.6736111111111112
combined_strict_no_tess,emotion2vec_logreg_augmented,SAVEE,105,0.5904761904761905,0.5636123680241327,0.5783344106873519,0.5611111111111111,0.5881319947109421,0.5611111111111111
combined_strict_no_tess,emotion2vec_mlp_augmented,CREMA-D,1716,0.6736596736596736,0.6763405120670338,0.6741611109368831,0.6765067148924212,0.6824621777065376,0.6765067148924212
combined_strict_no_tess,emotion2vec_mlp_augmented,RAVDESS,132,0.6742424242424242,0.6497689300378144,0.6633842873139794,0.6458333333333334,0.7211259871450934,0.6458333333333334
combined_strict_no_tess,emotion2vec_mlp_augmented,SAVEE,105,0.6285714285714286,0.6096199059561128,0.6207456336766681,0.6111111111111112,0.6825557809330629,0.6111111111111112
combined_strict_no_tess,stacking_full_augmented,CREMA-D,1716,0.6987179487179487,0.6970805733026758,0.6950177410052616,0.7027747938847568,0.6997925416767972,0.7027747938847568
combined_strict_no_tess,stacking_full_augmented,RAVDESS,132,0.7045454545454546,0.702325010714335,0.6991870930280785,0.6944444444444443,0.7443689613526571,0.6944444444444443
combined_strict_no_tess,stacking_full_augmented,SAVEE,105,0.7047619047619048,0.6749790568881023,0.6898707315070562,0.6555555555555556,0.7430231903636159,0.6555555555555556
