protocol,fold,best_epoch,best_val_score,n_train,n_val,n_test,WA,UAR,Macro_F1,Weighted_F1,CCC_valence,CCC_arousal,CCC_dominance,CCC_mean,MAE_mean,RMSE_mean,loss
5fold_session,fold_1_test_Ses01_val_Ses02,5,0.6830258062224596,3423,1023,1085,0.6331797235023041,0.6561407481350714,0.6378768159307711,0.6284785072706113,0.6725602666424317,0.555943020355585,0.500598287709429,0.5763671915691486,0.6303322315216064,0.8022333383560181,0.6788831241838225
5fold_session,fold_2_test_Ses02_val_Ses03,6,0.6284751920779671,3357,1151,1023,0.6999022482893451,0.7256956570088684,0.7090184637703272,0.6989272273455445,0.6994918369234716,0.5341656571440639,0.4821329802875397,0.5719301581183585,0.5849290490150452,0.7334624528884888,0.5943484517724015
5fold_session,fold_3_test_Ses03_val_Ses04,5,0.6367940690413747,3349,1031,1151,0.6455256298870548,0.6449676860025221,0.6465947456593037,0.6461123945491883,0.626513735650577,0.5285932528760726,0.5491811020855019,0.5680960302040505,0.5957537293434143,0.7650614380836487,0.6508919262948135
5fold_session,fold_4_test_Ses04_val_Ses05,6,0.6346317356418514,3259,1241,1031,0.6663433559650824,0.6768259969224508,0.6618860572472218,0.6710447040560941,0.6662902448755136,0.5144333869755982,0.4464522713057223,0.5423919677189447,0.6320146322250366,0.8006023168563843,0.6529554986329966
5fold_session,fold_5_test_Ses05_val_Ses01,5,0.6208275478259716,3205,1085,1241,0.6688154713940371,0.686695820154985,0.6629275865585245,0.671237988083351,0.6488598423833988,0.5014702474162706,0.48986582595018957,0.5467319719166196,0.6133794188499451,0.780959963798523,0.6435136047120278
10fold_speaker,fold_1_test_Ses01F_val_Ses01M,6,0.6865939745646449,4446,557,528,0.5890151515151515,0.6006498201047072,0.5781294395164036,0.5867897390126083,0.6782167028346414,0.5994551456542494,0.569000141526424,0.6155573300051049,0.6053042411804199,0.7742469906806946,0.7120491963895884
10fold_speaker,fold_2_test_Ses01M_val_Ses02F,5,0.7272051563218983,4493,481,557,0.7109515260323159,0.7391872824675741,0.7143787740315699,0.7080470399722174,0.6985995751903017,0.5497808851853765,0.5098725688072332,0.5860843430609705,0.6125605702400208,0.7826315760612488,0.5906939804553986
10fold_speaker,fold_3_test_Ses02F_val_Ses02M,5,0.6794489444708554,4508,542,481,0.7692307692307693,0.7852803780318887,0.7703432824485456,0.7691185185922027,0.7578820745328516,0.5933194672184654,0.4198032076505569,0.5903349164672913,0.5829465389251709,0.7415186166763306,0.5275366146390031
10fold_speaker,fold_4_test_Ses02M_val_Ses03F,5,0.6423916028973736,4467,522,542,0.6937269372693727,0.7353444423162868,0.6982304045081249,0.6954137599063972,0.7033728926570448,0.5028086356016337,0.5056391978427481,0.5706069087004756,0.5569969415664673,0.6950767040252686,0.5942787709443466
10fold_speaker,fold_5_test_Ses03F_val_Ses03M,3,0.6436541512414569,4380,629,522,0.6168582375478927,0.6276791096289959,0.614872867090527,0.617047841412662,0.6649193945878294,0.58444328672922,0.560092407272178,0.6031516961964092,0.5780588984489441,0.7377477288246155,0.6447328742254864
10fold_speaker,fold_6_test_Ses03M_val_Ses04F,4,0.6515726680475505,4374,528,629,0.6724960254372019,0.6784118181186802,0.6746676904020762,0.6715758579701411,0.6046007840182256,0.46558377208431917,0.5054523742454547,0.5252123101159998,0.6190956830978394,0.7967809438705444,0.641910490562331
10fold_speaker,fold_7_test_Ses04F_val_Ses04M,6,0.6474577859070597,4500,503,528,0.6988636363636364,0.701350651865166,0.6633866154096899,0.7192116703816411,0.7190047791222453,0.5228693937737413,0.4560612393281441,0.5659784707413769,0.6337707042694092,0.8208985328674316,0.6280328319831328
10fold_speaker,fold_8_test_Ses04M_val_Ses05F,6,0.6428420512501012,4438,590,503,0.6441351888667992,0.6901331643736942,0.6605923109934796,0.6372575923704681,0.6114514760640561,0.514288759178759,0.5036809597200826,0.543140398320966,0.5831667184829712,0.7327576279640198,0.6357185280039197
10fold_speaker,fold_9_test_Ses05F_val_Ses05M,4,0.6742311369931702,4290,651,590,0.6474576271186441,0.6646073127760143,0.6470092126706598,0.6469181306190426,0.595527940037684,0.42696765850083324,0.4474406944525406,0.4899787643303526,0.6210472583770752,0.8085949420928955,0.673179361820221
10fold_speaker,fold_10_test_Ses05M_val_Ses01F,4,0.6099539338199264,4352,528,651,0.7019969278033794,0.7246523262702965,0.6915617517493319,0.7059114502667861,0.7231957170045766,0.528429384532446,0.502448764994378,0.5846912888438002,0.5847806930541992,0.7367123961448669,0.5683701526034962
