model,code_status,input_features,architecture,iemocap_split,targets,reported_result,notes
emotion2vec,"repo cloned: code/emotion2vec","raw speech to emotion2vec embeddings","self-supervised online distillation plus linear classifier","5531 utterances, 4-class, LOSO/LOSpeaker reported","emotion category","WA around 71.79-72.94%; starred variants 74.48-77.64%","closest foundation model to 06D"
FT-w2v2-ser P-TAPT,"repo cloned: code/FT-w2v2-ser","raw waveform","Wav2Vec2 V-FT/TAPT/P-TAPT","leave-one-session-out, one test session","4-class emotion","UA 74.3% for P-TAPT","strong audio-only baseline"
CA-MSER co-attention,"repo cloned: code/CA-MSER_co_attention","MFCC, spectrogram, wav2vec2 embeddings","BiLSTM + spectrogram encoder + wav2vec2 + co-attention fusion","5531 utterances, LOSO and LOSpeaker","4-class emotion","LOSO WA/UA 69.80/71.05; LOSpeaker WA/UA 71.64/72.70","closest co-attention reference"
DST,"repo cloned: code/DST_deformable_speech_transformer","WavLM features","deformable speech transformer","4-class LOSO","4-class emotion","WA 71.8%, UA 73.6%","strong transformer baseline"
TIM-Net,"repo cloned: code/TIM-Net_SER","39-D MFCC","bidirectional multi-scale temporal dilated CNN","10-fold CV variants","4-class emotion","UAR/WAR 69.00/68.29 or 72.50/71.65 depending protocol","lightweight baseline"
SpeechFormer,"repo cloned: code/SpeechFormer","spectrogram, log-mel, wav2vec","hierarchical speech transformer","5531 utterances, LOSO","4-class emotion","best IEMOCAP WA/UA 62.9/64.5","architecture reference"
Wav2Vec2/HuBERT benchmark,"paper only","raw waveform","partial/entire fine-tuning of Wav2Vec2/HuBERT","SD random split and SI leave-two-speaker-out 10-fold","4-class emotion","HuBERT-large PF: SD WA 79.58, SI WA 73.01","official repo not found in this pass"
MSTR,"paper only","HuBERT features","multi-scale temporal transformer","4-class LOSO","4-class emotion","WA 70.60, UA 71.60","official repo not found in this pass"
Attention-augmented MTL AVD,"paper only","raw audio; eGeMAPS baselines","end-to-end attention multi-task learning","Session1-3 train, Session4 dev, Session5 test","activation, valence, dominance low/mid/high","test UAR: arousal 48.5, valence 63.8, dominance 51.6","AVD classification reference"
preCPC AVD,"paper only","raw audio / CPC features","CPC pretraining + attention + dense regression","5-fold CV","continuous activation, valence, dominance","CCC avg 0.731; act 0.752; val 0.752; dom 0.691","strong AVD regression reference"
Cross-modal teacher-student AVD,"paper only","HuBERT audio; BERT text teacher","audio-only student from audio+text teacher","5-fold speaker-independent CV","continuous activation, valence, dominance","audio-only T/S CCC: act 0.667; val 0.582; dom 0.545","useful if transcript is allowed as teacher"
AV from categorical labels,"paper only","WavLM representations","emotion classifier plus anchor dimensionality reduction","speaker-independent train/test split","arousal and valence","4-emotion CCC val/arousal 0.529/0.632; 9-emotion 0.566/0.672","bridge from emotion classification to AV"
